YYYYMMDD	M3	M2	M1	W4	W3	W2	W1	weekend	season	event
20180807	35	35	35	35	45	45	45		2	0
20180808	35	35	35	35	45	45	45		2	0
20180809	35	35	35	45	45	45	45		2	0
20180810	35	35	35	35	35	35	35	1	2	0
20180811	35	35	35	35	35	35	35	1	2	0
20180812	35	35	35	35	35	35	35		2	0
20180813	35	35	35	35	35	35	35		2	0
20180814	35	35	35	35	35	35	35		2	0
20180815	35	35	35	35	35	35	35		2	0
20180816	50	50	50	50	50	50	50		1	0
20180817	50	50	50	50	50	50	50		1	0
20180818	50	50	50	50	50	50	50		1	0
20180819	50	50	50	65	65	55	55		0	0
20180820	50	50	50	65	65	55	55		0	0
20180821	50	50	50	65	55	55	55		0	0
20180822	50	50	65	65	55	55	55		0	0
20180823	50	50	65	65	55	55	55		0	0
20180824	50	50	55	55	55	60	60	1	0	0
20180825	50	50	55	55	55	60	60	1	0	0
20180826	55	55	65	65	55	60	60		0	0
20180827	55	55	65	65	55	60	60		0	0
20180828	55	55	65	55	55	60	60		0	0
20180829	55	55	65	55	60	60	60		0	0
20180830	55	55	65	55	60	60	60		0	0
20180831	55	55	55	55	55	55	55	1	0	0
20180901	55	55	55	55	55	55	55	1	0	0
20180902	60	60	60	60	60	60	60		0	0
20180903	60	60	60	60	60	60	60		0	0
20180904	60	60	60	60	60	60	65		0	0
20180905	60	60	60	60	60	60	65		0	0
20180906	60	60	60	60	60	60	60		0	0
20180907	55	55	55	55	55	55	55	1	0	0
20180908	55	55	55	55	55	55	55	1	0	0
20180909	60	60	60	60	60	65	65		0	0
20180910	60	60	60	60	60	65	65		0	0
20180911	60	60	60	60	60	65	65		0	0
20180912	60	60	60	60	60	65	65		0	0
20180913	60	60	60	60	60	60	65		0	0
20180914	55	55	55	55	55	55	65	1	0	0
20180915	55	55	55	55	55	55	65	1	0	0
20180916	60	60	60	60	65	65	70		0	0
20180917	60	60	60	60	65	65	70		0	0
20180918	60	60	60	60	65	65	70		0	0
20180919	60	60	60	60	65	65	70		0	0
20180920	35	35	35	35	50	60	60		0	0
20180921	25	25	25	25	25	25	25	1	0	1
20180922	25	25	25	25	25	25	25	1	0	1
20180923	25	25	25	25	25	25	25		0	1
20180924	25	25	25	25	25	25	25		0	1
20180925	35	35	35	35	35	35	35		0	1
20180926	45	45	45	45	45	70	70		0	0
20180927	55	55	55	55	70	70	70		0	0
20180928	55	55	55	55	70	70	70		0	0
20180929	55	55	55	55	70	70	70		0	0
20180930	55	55	55	55	70	70	70		0	0
20181001	55	55	55	55	70	70	70		0	0
20181002	55	55	55	55	70	70	70		0	0
20181003	45	45	45	45	70	70	70		0	0
20181004	45	45	45	70	70	70	70		0	0
20181005	45	45	45	45	45	45	45		0	1
20181006	45	45	45	45	45	45	45		0	1
20181007	45	45	45	70	70	70	70		0	0
20181008	45	45	45	70	70	70	70		0	0
20181009	60	60	60	70	70	70	70		0	0
20181010	60	60	60	70	70	70	70		0	0
20181011	60	60	70	70	70	70	70		0	0
20181012	60	60	70	70	70	70	70		0	0
20181013	60	60	70	70	70	70	70		0	0
20181014	60	60	70	70	70	70	70		0	0
20181015	60	60	70	70	70	70	70		0	0
20181016	60	60	70	70	70	70	70		0	0
20181017	60	60	70	70	70	70	70		0	0
20181018	60	60	70	70	70	70	70		0	0
20181019	60	60	70	70	70	70	70		0	0
20181020	60	60	70	70	70	70	70		0	0
20181021	60	60	70	70	70	70	70		0	0
20181022	60	60	70	70	70	70	70		0	0
20181023	60	60	70	70	70	70	70		0	0
20181024	60	60	70	70	70	70	70		0	0
20181025	60	60	70	70	70	70	70		0	0
20181026	60	60	70	70	70	70	70		0	0
20181027	60	60	70	70	70	70	70		0	0
20181028	60	60	70	70	70	70	70		0	0
20181029	60	60	70	70	70	70	70		0	0
20181030	60	60	70	70	70	70	70		0	0
20181031	60	60	70	70	70	70	70		0	0
20181101	60	60	60	70	70	70	70		0	0
20181102	60	60	60	70	70	70	70		0	0
20181103	60	60	60	70	70	70	70		0	0
20181104	60	60	60	70	70	70	70		0	0
20181105	60	60	60	70	70	70	70		0	0
20181106	60	60	70	70	70	70	70		0	0
20181107	60	60	70	70	70	70	70		0	0
20181108	60	60	70	70	70	70	70		0	0
20181109	60	60	70	70	70	70	70		0	0
20181110	60	60	70	70	70	70	70		0	0
20181111	60	60	70	70	75	75	75		0	0
20181112	60	60	70	70	75	75	75		0	0
20181113	60	60	70	70	75	75	75		0	0
20181114	60	60	70	70	75	75	75		0	0
20181115	60	60	70	70	70	70	70		0	0
20181116	60	60	70	70	70	70	70		0	0
20181117	60	60	70	70	70	70	70		0	0
20181118	60	60	70	70	70	70	70		0	0
20181119	60	60	70	70	70	70	70		0	0
20181120	60	60	70	70	70	70	70		0	0
20181121	60	60	70	70	70	70	70		0	0
20181122	60	60	70	70	70	70	70		0	0
20181123	60	60	70	70	70	70	70		0	0
