예약경로	예약경로명	계약번호	고객구분	고객구분명	총 청구액(VAT포함)	예약모델	예약모델명	차급	대여일	대여시간	반납일	반납시간	대여기간(일)	대여기간(시간)	CDW요금	할인유형	할인유형명	적용할인명	적용할인율(%)	회원등급	구매목적	생성일	차종
12	제휴사	2022490107	2	개인	133050	1KLY005	더 뉴 레이 (G)	1.0급	2020-11-28	15:50:00	2020-12-01	14:04:00	2	23	31200	KA03	이벤트할인	KT멤버십	65.00	일반회원	단기	2020-10-27	THE NEW RAY (G) 1.0 럭셔리
10	직접	2022490146	2	개인	40000	1HBB101	더 올 뉴 벨로스터 (G)	1.6급	2020-11-25	12:00:00	2020-11-27	11:46:00	2	0	40000	KA03	이벤트할인	임직원무료이용권	50.00	일반회원	단기	2020-10-27	THE ALL-NEW VELOSTER (G) 1.4 MODERN CORE
13	모바일	2022490169	2	개인	229000	1HDN001	쏘나타 DN8 (G)	2.0급	2020-11-26	12:00:00	2020-11-29	16:04:00	3	5	108000	KA04	쿠폰할인	P2070134221002	80.00	일반회원	단기	2020-10-27	SONATA DN8 (G) 2.0 프리미엄
12	제휴사	2022490198	2	개인	215100	1KLY005	더 뉴 레이 (G)	1.0급	2020-11-29	10:00:00	2020-12-03	18:21:00	4	9	52000	KA03	이벤트할인	KT멤버십	65.00	일반회원	단기	2020-10-27	THE NEW RAY (G) 1.0 럭셔리
11	홈페이지	2022490212	2	개인	188500	1KST110	셀토스 4WD (D)	SUV/RV	2020-11-27	15:00:00	2020-11-30	9:36:00	2	19	53500	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-27	SELTOS (D) 1.6 프레스티지 4WD
13	모바일	2022490356	2	개인	282300	1RXM300	XM3 1.4 (G)	SUV/RV	2020-11-28	10:30:00	2020-12-01	14:44:00	3	5	95400	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-27	XM3 TCE260 (G) 1.4 RE
11	홈페이지	2022490359	2	개인	118800	1HAV140	아반떼 AD (G) F/L	1.6급	2020-11-28	8:00:00	2020-11-29	15:24:00	1	8	32000	KA02	회원할인	일반회원	55.00	일반회원	단기	2020-10-27	THE NEW AVANTE AD (G) 1.6 SMART F/L
11	홈페이지	2022490382	2	개인	116400	1TIV101	티볼리 (G)	SUV/RV	2020-12-11	20:50:00	2020-12-13	15:41:00	1	19	38400	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-27	TIVOLI (G) 1.6 아머 TX
11	홈페이지	2022490439	2	개인	412400	1KSR925	쏘렌토 MQ4 7인승 4WD (D)	SUV/RV	2020-11-26	8:40:00	2020-11-29	17:32:00	3	9	124800	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-27	SORENTO MQ4 (D) 2.2 프레스티지 7인승 4WD
11	홈페이지	2022490440	2	개인	324600	1KCN600	더 뉴 카니발 9인승 (D)	승합	2020-11-25	8:00:00	2020-11-28	12:55:00	3	5	94700	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-27	THE NEW CARNIVAL (D) 2.2 럭셔리 9인승
13	모바일	2022490514	2	개인	139800	1KK5201	INTERACTIVE K5 (G)	2.0급	2020-11-30	10:00:00	2020-12-01	17:27:00	1	8	48000	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-27	INTERACTIVE K5 (G) 2.0 프레스티지
13	모바일	2022490517	2	개인	187200	1HNG001	더 뉴 그랜저 2.5 (G)	2.4급	2020-11-26	15:00:00	2020-11-28	15:44:00	2	1	0	KA02	회원할인	비회원	60.00	일반회원	단기	2020-10-27	THE NEW GRANDEUR (G) 2.5 프리미엄
12	제휴사	2022490588	2	개인	285400	1TSM301	TESLA MODEL 3 (EV)	전기차	2020-11-27	12:00:00	2020-11-29	11:48:00	2	0	54400	KA03	이벤트할인	KT멤버십	65.00	일반회원	단기	2020-10-27	TESLA MODEL 3 (E) LONG RANGE
11	홈페이지	2022490611	2	개인	347100	1HAV151	올 뉴 아반떼 (G)	1.6급	2020-12-06	13:30:00	2020-12-11	15:30:00	5	2	107000	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-27	ALL NEW AVANTE (G) 1.6 MODERN
12	제휴사	2022490685	2	개인	204750	1KK3010	ALL NEW K3 (G)	1.6급	2020-12-07	9:00:00	2020-12-11	11:27:00	4	3	72000	KA03	이벤트할인	롯데면세점	75.00	비회원	단기	2020-10-27	ALL NEW K3 (G) 1.6 럭셔리
12	제휴사	2022490747	2	개인	160800	1HAV140	아반떼 AD (G) F/L	1.6급	2020-11-28	8:00:00	2020-11-30	19:33:00	2	12	43200	KA03	이벤트할인	롯데면세점	65.00	일반회원	단기	2020-10-28	THE NEW AVANTE AD (G) 1.6 SMART F/L
11	홈페이지	2022490748	2	개인	495000	1HDN001	쏘나타 DN8 (G)	2.0급	2020-11-23	15:00:00	2020-11-28	10:37:00	4	20	108000	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-28	SONATA DN8 (G) 2.0 프리미엄
11	홈페이지	2022490753	2	개인	349000	1KCN600	더 뉴 카니발 9인승 (D)	승합	2020-11-29	14:00:00	2020-12-02	12:10:00	2	23	71000	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-28	THE NEW CARNIVAL (D) 2.2 럭셔리 9인승
13	모바일	2022490775	2	개인	118400	1HBB101	더 올 뉴 벨로스터 (G)	1.6급	2020-11-28	8:30:00	2020-11-29	18:55:00	1	11	32000	KA02	회원할인	일반회원	60.00	일반회원	단기	2020-10-28	THE ALL-NEW VELOSTER (G) 1.4 MODERN
13	모바일	2022490791	2	개인	103900	1KST110	셀토스 4WD (D)	SUV/RV	2020-11-24	17:00:00	2020-11-26	19:03:00	2	3	0	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-28	SELTOS (D) 1.6 프레스티지 4WD
13	모바일	2022490800	2	개인	117900	1KLY005	더 뉴 레이 (G)	1.0급	2020-11-24	10:00:00	2020-11-26	17:01:00	2	8	31200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-28	THE NEW RAY (G) 1.0 럭셔리
12	제휴사	2022490801	2	개인	256400	1KK5201	INTERACTIVE K5 (G)	2.0급	2020-12-04	16:00:00	2020-12-08	14:02:00	3	23	86400	KA03	이벤트할인	KT멤버십	75.00	일반회원	단기	2020-10-28	INTERACTIVE K5 (G) 2.0 프레스티지
21	카드사	2022490924	2	개인	150200	1HSX500	더 뉴 그랜드 스타렉스 9인승 (D)	SUV/RV	2020-12-10	20:00:00	2020-12-13	18:06:00	2	23	71000	KA01	업체할인	비씨카드(주)	72.00	일반회원	단기	2020-10-28	THE NEW GRAND STAREX(D)2.5 어반 프리미엄스페셜 9인
13	모바일	2022491067	2	개인	178800	1HBB101	더 올 뉴 벨로스터 (G)	1.6급	2020-11-25	10:40:00	2020-11-27	19:00:00	2	9	61200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-28	THE ALL-NEW VELOSTER (G) 1.4 MODERN
21	카드사	2022491177	2	개인	233190	1KSR925	쏘렌토 MQ4 7인승 4WD (D)	SUV/RV	2020-12-04	10:30:00	2020-12-06	16:28:00	2	6	93600	KA01	업체할인	비씨카드(주)	67.00	비회원	단기	2020-10-28	SORENTO MQ4 (D) 2.2 프레스티지 7인승 4WD
11	홈페이지	2022491209	2	개인	239900	1HSX500	더 뉴 그랜드 스타렉스 9인승 (D)	SUV/RV	2020-12-04	12:00:00	2020-12-06	15:25:00	2	4	71000	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-28	THE NEW GRAND STAREX(D)2.5 어반 프리미엄스페셜 9인
21	카드사	2022491222	2	개인	168400	1HSX500	더 뉴 그랜드 스타렉스 9인승 (D)	SUV/RV	2020-11-27	10:00:00	2020-11-29	13:48:00	2	4	0	KA01	업체할인	비씨카드(주)	57.00	일반회원	단기	2020-10-28	THE NEW GRAND STAREX(D)2.5 어반 프리미엄스페셜 9인
10	직접	2022491248	2	개인	206400	1KCN601	더 뉴 카니발 11인승 (D)	승합	2020-11-23	11:00:00	2020-11-25	16:24:00	2	6	88800	KA04	쿠폰할인	P2014240281001	80.00	일반회원	단기	2020-10-28	THE NEW CARNIVAL (D) 2.2 디럭스 11인승
11	홈페이지	2022491279	2	개인	86700	1KK5201	INTERACTIVE K5 (G)	2.0급	2020-12-03	8:30:00	2020-12-04	15:21:00	1	7	0	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-28	INTERACTIVE K5 (G) 2.0 프레스티지
